Radius(in miles),Latitude,Longitude
50.00,31.747010,-86.692921
50.00,33.174342,-86.729507
50.00,34.252858,-86.328425
25.00,34.599176,-87.557800
25.00,33.906896,-87.782478
25.00,33.234093,-87.870369
25.00,32.449521,-87.655277
25.00,31.802893,-87.984867
25.00,30.633186,-87.990360
25.00,31.226895,-88.001347
25.00,31.358328,-85.513802
25.00,32.063956,-85.512943
25.00,32.491217,-86.056760
25.00,33.380999,-85.727177
25.00,32.805725,-85.584322
10.00,33.806538,-85.554142
10.00,32.454156,-85.165501
10.00,34.847621,-87.031374
10.00,34.840859,-85.767946
10.00,34.357042,-87.995424
10.00,34.175453,-87.330322
10.00,33.904616,-87.220888
10.00,32.810362,-88.149662
10.00,32.537552,-88.193607
10.00,32.240682,-88.221073
10.00,31.165810,-87.424564
10.00,31.145831,-86.014195
5.00,32.868053,-87.586184
5.00,32.812671,-87.899293
5.00,32.848442,-87.730744
5.00,31.512992,-87.596842
5.00,31.380606,-87.524171
5.00,31.525873,-88.367372
5.00,32.063956,-88.360720
5.00,32.031363,-87.555971
5.00,31.075285,-87.198701
5.00,31.069403,-86.253877
5.00,31.067051,-85.811677
5.00,31.067051,-86.395326
5.00,31.069401,-87.040772
5.00,31.074106,-85.130740
5.00,31.705971,-85.227234
5.00,31.714149,-85.782838
5.00,32.449521,-87.127290
5.00,33.548262,-87.535157
5.00,33.725482,-87.356629
5.00,33.635202,-87.443147
5.00,33.598607,-88.143740
5.00,34.930979,-87.888308
5.00,34.935482,-88.058596
5.00,34.811541,-87.995427
5.00,34.565383,-88.050356
5.00,34.680652,-88.042116
5.00,34.919719,-87.267580
5.00,34.921971,-86.786928
5.00,32.255782,-85.056367
5.00,30.628459,-87.479067
5.00,30.481817,-87.512026
5.00,30.356286,-87.580690
5.00,30.285158,-87.715271
5.00,30.247798,-88.111146
5.00,30.231188,-87.955964
5.00,30.237714,-87.820694
