Radius(in miles),Latitude,Longitude
100.00,34.147942,-118.802698
100.00,37.844267,-122.120569
100.00,36.743054,-119.505823
100.00,40.509403,-121.917322
25.00,33.410568,-116.841639
50.00,33.385586,-115.566044
50.00,35.822033,-117.022913
50.00,34.813803,-115.645523
25.00,39.249271,-123.555679
25.00,41.627761,-123.780899
25.00,40.430224,-124.289188
25.00,39.078908,-120.471439
25.00,38.475094,-119.960575
25.00,34.777716,-120.862312
25.00,35.451721,-121.114998
25.00,36.057981,-121.609383
25.00,34.089061,-116.544685
25.00,34.759666,-116.841316
25.00,34.288992,-114.764900
25.00,41.037931,-124.140873
25.00,39.791655,-124.014530
25.00,41.623655,-120.454102
25.00,36.712467,-117.472172
5.00,35.824494,-118.004580
5.00,35.719758,-118.128176
5.00,35.610418,-118.260012
5.00,35.561278,-118.103456
5.00,35.661759,-117.974367
5.00,35.514343,-117.930422
5.00,36.009117,-116.062317
5.00,35.900175,-115.930910
5.00,35.775486,-116.035280
5.00,35.765458,-115.849886
5.00,35.639441,-115.950136
5.00,35.543401,-116.084719
5.00,35.639441,-115.760622
5.00,35.626047,-115.579348
5.00,35.118785,-116.544557
5.00,35.042365,-117.297120
25.00,35.236646,-120.405092
5.00,32.648382,-116.602686
5.00,32.667125,-116.422548
5.00,32.676373,-116.246767
5.00,32.697177,-116.065493
5.00,32.805745,-116.467867
5.00,32.804591,-116.282473
5.00,32.937234,-116.345644
5.00,33.662639,-116.436067
5.00,34.335498,-116.988130
5.00,34.012827,-117.015595
5.00,34.168636,-117.014222
5.00,34.082237,-116.025453
5.00,32.771110,-114.958620
5.00,32.780347,-114.771852
5.00,32.888813,-114.846010
5.00,33.006360,-114.733400
5.00,32.948759,-114.574099
5.00,32.808053,-114.615297
5.00,33.844186,-114.774384
5.00,33.872696,-114.610963
5.00,33.716344,-114.678254
5.00,33.574582,-114.641175
5.00,34.712267,-114.671388
5.00,35.901288,-121.099763
5.00,36.441171,-121.366396
5.00,38.498743,-119.416323
5.00,38.393339,-119.273500
5.00,38.289937,-119.116945
5.00,38.195022,-118.979616
5.00,38.339502,-119.441042
5.00,38.248966,-119.295473
5.00,38.634037,-120.473757
5.00,39.123668,-121.050539
5.00,39.510398,-120.418825
5.00,39.626846,-120.303469
5.00,39.745210,-120.196352
5.00,39.880235,-120.105715
5.00,40.017098,-120.086489
5.00,39.472245,-120.232058
5.00,39.595107,-120.116701
5.00,39.389509,-120.091982
5.00,39.216295,-122.992158
5.00,38.823661,-123.589540
5.00,41.674963,-123.195620
5.00,41.824549,-123.247805
5.00,41.767215,-123.036318
5.00,41.847059,-122.857790
5.00,41.916585,-122.679262
5.00,41.908409,-123.068848
5.00,41.932933,-123.374147
5.00,41.934976,-122.503481
5.00,41.836828,-120.951662
5.00,41.906365,-121.124697
5.00,41.922716,-120.833559
5.00,41.925781,-124.164948
5.00,41.812267,-124.281678
5.00,41.275742,-120.097475
5.00,41.129021,-120.100222
25.00,32.865746,-117.301455
5.00,32.985628,-116.815309
5.00,33.027088,-116.634035
5.00,33.098444,-116.474733
5.00,32.847289,-116.787844
5.00,32.778008,-116.645024
5.00,32.618557,-116.897707
5.00,32.729530,-116.818056
5.00,32.627810,-116.749392
5.00,33.282324,-117.323213
5.00,33.748322,-117.071900
5.00,33.879537,-117.007356
5.00,33.798550,-116.911225
5.00,32.901497,-116.632447
5.00,32.941844,-116.492372
