Radius(in miles),Latitude,Longitude
100.00,43.433329,-114.994726
50.00,42.719124,-112.033911
50.00,45.359865,-115.439701
50.00,46.664517,-115.953140
25.00,43.759543,-111.545019
25.00,43.751257,-112.539310
25.00,44.988113,-114.082890
25.00,47.680183,-116.502457
10.00,48.279860,-116.807470
10.00,48.268569,-116.280155
10.00,48.565703,-116.266422
10.00,48.569338,-116.810245
10.00,48.857487,-116.802006
10.00,48.862908,-116.302128
10.00,47.240084,-116.837282
10.00,46.059891,-116.732912
10.00,45.870888,-116.430788
10.00,46.555083,-114.703188
10.00,46.284326,-114.648256
10.00,46.149394,-114.977846
10.00,45.968334,-114.672976
10.00,45.026950,-116.565800
10.00,44.777936,-116.384525
10.00,44.762337,-116.719608
10.00,44.539590,-116.950321
10.00,44.504341,-116.549320
10.00,44.288469,-116.769047
10.00,42.646081,-116.867924
10.00,42.427511,-116.620731
10.00,42.228517,-116.357060
10.00,42.118599,-116.027470
10.00,42.224450,-116.834965
10.00,42.642041,-113.171024
10.00,42.415346,-113.385258
10.00,42.204107,-113.670902
10.00,42.301690,-113.028202
10.00,42.138968,-113.319340
10.00,42.130821,-112.797489
10.00,42.114524,-111.259403
10.00,43.309191,-111.237431
10.00,44.449467,-111.336308
10.00,44.205835,-111.214600
10.00,44.249134,-111.616459
10.00,44.433780,-111.913090
10.00,44.308127,-112.303104
10.00,44.304196,-112.676640
10.00,44.676466,-113.495121
10.00,44.449467,-113.231449
10.00,44.178264,-113.011723
5.00,43.405400,-112.890845
5.00,43.245203,-112.907352
5.00,43.329174,-112.726078
5.00,42.085994,-113.945560
5.00,42.106374,-116.587772
5.00,42.879990,-116.955814
5.00,42.065607,-114.142885
5.00,42.303722,-111.124392
5.00,44.215679,-111.964846
5.00,44.123085,-112.135134
5.00,44.056012,-111.959352
5.00,44.476911,-112.220278
5.00,44.459270,-111.635256
5.00,44.359206,-113.000307
5.00,44.672559,-113.206301
5.00,44.875336,-113.549623
5.00,45.388806,-114.324160
5.00,45.427371,-114.126406
5.00,45.406164,-113.931398
5.00,45.546755,-113.986330
5.00,45.226546,-116.565800
5.00,45.379161,-116.526918
5.00,47.017716,-116.936159
5.00,47.420654,-116.955385
5.00,47.441092,-115.985842
5.00,47.502359,-115.821047
5.00,47.639485,-115.856752
5.00,47.988084,-116.952639
5.00,48.068903,-116.768618
5.00,48.255770,-116.540651
5.00,48.409149,-116.532412
5.00,48.101929,-116.568117
5.00,48.078079,-116.375856
5.00,48.037692,-116.167116
5.00,48.689147,-116.559877
5.00,43.088949,-112.975588
5.00,42.958433,-113.044252
5.00,42.849792,-113.082705
5.00,43.509717,-112.038789
