Radius(in miles),Latitude,Longitude
50.00,41.030622,-85.773160
50.00,39.593005,-85.752875
25.00,41.393268,-87.045335
25.00,40.680640,-87.039614
25.00,39.964491,-87.045536
25.00,39.245017,-87.062016
25.00,38.535276,-87.105961
25.00,38.569733,-86.183080
10.00,40.442767,-85.001907
10.00,40.155786,-85.004396
10.00,40.310949,-85.298281
10.00,40.310949,-86.471071
10.00,41.613391,-84.997311
10.00,41.615442,-86.471071
10.00,38.897446,-85.073061
10.00,38.786204,-85.600405
10.00,38.272689,-87.641115
10.00,38.032949,-87.803163
10.00,38.079447,-87.443361
10.00,38.035112,-87.069826
10.00,38.197180,-86.624880
10.00,38.134557,-86.092043
10.00,38.976492,-86.509952
5.00,40.190412,-87.437817
5.00,40.515887,-86.539736
5.00,40.317232,-86.185427
5.00,40.325608,-86.762209
5.00,40.111689,-86.526003
5.00,40.440676,-87.432375
5.00,40.323514,-87.351136
5.00,40.419769,-86.649599
5.00,40.641052,-84.891787
5.00,41.403596,-84.900026
5.00,41.683169,-85.257082
5.00,41.683169,-86.212892
5.00,41.681118,-87.430787
5.00,41.685220,-86.707277
5.00,41.112442,-87.421384
5.00,40.971600,-87.418641
5.00,41.033787,-87.292299
5.00,41.033787,-86.800661
5.00,39.603572,-86.775942
5.00,39.607804,-87.306032
5.00,39.679713,-87.436494
5.00,39.526289,-87.437868
5.00,38.903858,-87.404909
5.00,38.886757,-86.764955
5.00,38.786204,-86.646852
5.00,39.162011,-86.553469
5.00,38.601847,-85.652590
5.00,38.582526,-85.496035
5.00,38.470794,-85.663576
5.00,38.354580,-85.745974
5.00,37.987504,-86.655092
5.00,38.166938,-86.877560
5.00,38.071879,-86.803408
5.00,37.864013,-87.987184
5.00,38.223078,-87.882814
5.00,38.856814,-85.341810
5.00,39.200334,-84.919252
5.00,39.083172,-84.987917
5.00,39.951859,-84.905305
5.00,38.455740,-87.610688
