Radius(in miles),Latitude,Longitude
50.00,32.296339,-93.178392
50.00,32.291892,-91.880250
50.00,31.057640,-92.555180
50.00,30.268556,-91.100349
50.00,29.757205,-92.976252
50.00,29.506549,-89.847908
50.00,29.324720,-91.364021
25.00,30.628459,-90.243416
10.00,30.263696,-92.093575
10.00,31.475524,-91.709232
10.00,31.575025,-93.603516
10.00,31.334871,-93.466187
10.00,31.517679,-93.346195
10.00,30.543339,-93.282595
10.00,30.358656,-93.573732
10.00,30.751278,-93.419924
10.00,29.978729,-92.027836
10.00,32.874974,-92.533207
10.00,32.876127,-93.869419
5.00,30.576450,-93.586006
5.00,30.965834,-93.455200
5.00,31.123497,-93.444643
5.00,32.694866,-93.960786
5.00,32.945301,-93.631196
5.00,32.943573,-93.468354
5.00,32.939539,-92.750917
5.00,32.938386,-92.300477
5.00,32.937234,-91.354494
5.00,32.844981,-91.225405
5.00,32.928013,-91.511049
5.00,30.919898,-91.634431
5.00,30.434466,-91.980715
5.00,30.297018,-92.332277
5.00,30.281602,-89.718690
5.00,30.423809,-89.781861
5.00,30.305318,-89.894471
5.00,30.921076,-89.865847
5.00,30.923433,-90.601931
5.00,31.287940,-91.685243
5.00,31.148182,-91.650910
5.00,31.030578,-91.649537
