Radius(in miles),Latitude,Longitude
100.00,44.471916,-84.437618
50.00,46.392823,-85.784683
50.00,46.860191,-89.124527
50.00,46.135818,-87.365693
50.00,42.480457,-86.266265
50.00,42.431821,-84.365727
25.00,47.457735,-88.084229
25.00,46.871458,-87.754154
25.00,46.107584,-84.569020
25.00,43.540576,-86.443863
25.00,42.686745,-83.085989
10.00,41.904321,-85.342655
10.00,41.877741,-83.523989
10.00,42.057460,-83.356446
10.00,42.291533,-83.307009
10.00,43.257210,-85.859018
10.00,43.092961,-85.512943
10.00,43.060861,-85.150394
10.00,42.847779,-85.331669
10.00,43.032761,-83.590336
10.00,43.169129,-83.266239
10.00,43.321095,-82.936649
10.00,43.560491,-82.678471
10.00,43.022748,-82.615303
10.00,43.309191,-82.541141
5.00,44.073774,-86.450386
5.00,43.939443,-86.366700
5.00,43.231196,-86.111269
5.00,43.438960,-85.910769
5.00,43.255205,-85.603151
5.00,42.126747,-85.337162
5.00,41.838874,-85.605898
5.00,41.838874,-85.078554
5.00,41.797936,-83.795900
5.00,43.123038,-83.021364
5.00,42.830660,-82.577791
5.00,42.706660,-82.595644
5.00,43.169129,-82.763186
5.00,43.068888,-82.873049
