Radius(in miles),Latitude,Longitude
50.00,34.258207,-89.062506
50.00,32.902358,-89.227248
50.00,31.718880,-90.369774
25.00,30.514949,-89.342537
25.00,31.700130,-89.144783
25.00,31.099982,-89.241943
25.00,34.605556,-89.968543
25.00,34.016242,-90.364265
25.00,32.741394,-90.474191
25.00,33.559707,-89.913826
25.00,33.376412,-90.682869
10.00,30.722949,-89.660282
10.00,31.137580,-89.797611
10.00,31.142315,-91.407108
10.00,33.132951,-90.160160
10.00,33.760838,-88.421549
10.00,33.321383,-88.467827
10.00,33.545973,-88.671083
10.00,33.550551,-88.443117
10.00,30.446306,-88.805666
10.00,30.436834,-88.563967
10.00,30.708781,-88.912783
10.00,30.689921,-88.583197
10.00,30.911651,-88.737431
10.00,31.184609,-88.698978
10.00,31.461468,-88.687992
10.00,32.063956,-89.479008
10.00,32.115149,-88.770390
10.00,31.882222,-88.644047
10.00,31.667408,-88.638554
10.00,34.827332,-88.286991
10.00,31.146991,-91.071593
10.00,31.419288,-91.302738
5.00,32.405473,-90.816164
5.00,32.521342,-90.912294
5.00,32.655563,-90.969973
5.00,32.794201,-90.986452
5.00,33.063915,-91.049607
5.00,32.981020,-90.879335
5.00,32.930318,-91.024904
5.00,32.557231,-90.037293
5.00,32.446044,-90.144410
5.00,32.200019,-89.665132
5.00,32.304545,-89.790101
5.00,32.393878,-89.935670
5.00,32.115149,-89.228640
5.00,32.122127,-89.033632
5.00,32.291776,-88.635378
5.00,32.417066,-88.492556
5.00,32.056973,-88.541994
5.00,32.184911,-88.525515
5.00,32.301063,-88.503542
5.00,31.639352,-91.277590
5.00,31.074106,-90.835386
5.00,31.438037,-89.525271
5.00,30.899868,-89.679079
5.00,31.346600,-88.857851
5.00,31.038815,-88.517275
5.00,30.890441,-88.498049
5.00,31.318448,-88.525515
5.00,31.438037,-88.533433
5.00,31.172860,-88.517275
