Radius(in miles),Latitude,Longitude
100.00,47.610571,-106.165789
100.00,47.591347,-110.306168
50.00,48.210032,-113.404312
50.00,46.845164,-113.239517
50.00,45.514046,-112.609863
50.00,45.790509,-110.886726
50.00,46.233053,-108.282967
50.00,45.698507,-106.448250
25.00,46.427219,-112.032488
25.00,45.958788,-109.579353
25.00,45.367584,-109.698486
25.00,45.390735,-108.887215
25.00,45.336702,-107.909431
25.00,45.375302,-105.162849
25.00,46.042736,-105.151863
25.00,46.377254,-104.536629
25.00,48.625647,-108.260994
25.00,47.301584,-114.677010
25.00,47.857403,-115.259285
25.00,48.567520,-115.457039
5.00,47.037150,-108.225725
10.00,47.558699,-112.598284
10.00,47.498648,-114.027958
10.00,47.783635,-114.522343
10.00,48.257599,-114.747562
10.00,48.567520,-114.665165
10.00,48.796009,-114.368534
10.00,48.843028,-114.813480
10.00,48.480204,-112.242680
10.00,48.716337,-112.000980
10.00,48.853873,-111.671391
10.00,48.767052,-112.423954
10.00,48.136767,-115.813236
10.00,46.833892,-114.488525
10.00,46.290020,-114.187260
10.00,46.103709,-113.901615
10.00,45.993145,-113.528080
10.00,45.985512,-114.268799
10.00,45.713851,-114.285278
10.00,45.824971,-113.896122
10.00,44.656932,-112.835941
10.00,44.692088,-112.440433
10.00,44.742832,-112.061405
10.00,44.902578,-111.731815
10.00,45.100669,-111.550541
10.00,44.925918,-111.275883
10.00,45.151053,-107.337284
10.00,45.151053,-104.541264
10.00,45.410020,-104.458866
10.00,45.686996,-104.629154
10.00,45.909122,-104.425907
10.00,45.656288,-104.244633
10.00,48.846643,-107.573490
10.00,48.857487,-108.935795
10.00,48.853873,-104.793949
10.00,48.853873,-104.305058
10.00,48.505687,-104.272098
5.00,48.731521,-104.523332
5.00,48.940543,-107.271366
5.00,48.926109,-109.248905
5.00,48.918890,-112.044926
5.00,48.904449,-114.022465
5.00,48.864715,-112.737064
5.00,48.918890,-111.336308
5.00,48.922499,-115.104618
5.00,48.893615,-115.917606
5.00,47.424371,-115.296879
5.00,47.468950,-115.527592
5.00,48.011975,-114.615726
5.00,47.643186,-114.269657
5.00,44.883120,-113.319340
5.00,44.672559,-111.770268
5.00,44.701850,-111.566591
5.00,44.733077,-111.140871
5.00,44.606113,-111.129885
5.00,45.089036,-110.399294
5.00,45.162674,-110.226259
5.00,45.071581,-110.190554
5.00,45.071581,-109.278688
5.00,45.067701,-108.364077
5.00,45.067701,-108.575563
5.00,45.059942,-107.078676
5.00,45.154927,-105.658693
5.00,45.073521,-105.804262
5.00,45.073521,-105.562563
5.00,45.056061,-104.768801
5.00,45.224612,-104.290896
5.00,45.340563,-104.178286
5.00,45.463983,-104.120607
5.00,45.191716,-104.126101
5.00,45.071581,-104.263430
5.00,45.855586,-104.137087
5.00,46.016039,-104.161806
5.00,46.719152,-104.139833
5.00,46.769968,-104.323854
5.00,46.850800,-104.164553
5.00,46.980252,-104.156313
5.00,48.294158,-104.156313
5.00,48.606582,-104.511781
5.00,48.689147,-104.161592
5.00,48.928815,-105.095429
5.00,48.925206,-107.835145
5.00,48.178907,-108.237734
5.00,44.794505,-111.467500
5.00,44.471031,-112.909670
5.00,44.814967,-113.077211
