Radius(in miles),Latitude,Longitude
50.00,44.267300,-74.391683
50.00,43.412802,-76.027015
50.00,42.924252,-74.236336
50.00,43.004787,-77.928070
25.00,42.382850,-76.697222
25.00,42.374778,-75.620613
25.00,42.358487,-79.169184
25.00,42.008489,-74.741707
25.00,41.926803,-73.961678
10.00,41.083671,-72.115206
10.00,40.971604,-72.455692
10.00,40.876141,-72.807255
10.00,40.817966,-73.180790
10.00,40.751418,-73.532352
10.00,40.657722,-73.853016
5.00,40.859525,-73.842287
5.00,40.976788,-73.800874
5.00,40.572243,-74.112826
10.00,41.271574,-73.740454
10.00,41.512691,-73.713198
10.00,41.430372,-74.067511
10.00,41.559977,-74.421812
10.00,42.159343,-77.328133
10.00,42.151187,-77.723637
10.00,42.151187,-78.102665
10.00,42.138968,-78.509159
5.00,42.362603,-78.575077
5.00,42.293564,-78.338442
5.00,42.299659,-77.522707
5.00,42.374778,-77.270021
5.00,42.073762,-78.780642
5.00,42.075801,-79.637575
5.00,42.228517,-79.667788
5.00,42.938315,-76.861182
5.00,42.656182,-76.256962
5.00,42.065605,-76.289919
5.00,42.077840,-76.059208
5.00,42.181723,-76.171389
5.00,42.455888,-76.163149
5.00,42.305753,-76.165896
5.00,42.071723,-77.069521
5.00,42.767179,-75.463200
5.00,42.378836,-75.031986
5.00,42.520699,-75.120606
5.00,42.053372,-75.285401
5.00,42.859860,-75.286989
5.00,42.714732,-75.292482
5.00,42.640020,-76.067019
5.00,42.561173,-76.165896
5.00,42.785323,-76.638308
5.00,42.813537,-76.828980
5.00,42.738944,-76.954165
5.00,43.636075,-75.015507
5.00,43.572432,-74.845219
5.00,43.492783,-74.971561
5.00,43.548548,-73.334169
5.00,43.377105,-73.358889
5.00,43.510713,-73.529177
5.00,43.628123,-73.795589
5.00,43.711567,-73.636295
5.00,43.822638,-73.487978
5.00,43.655950,-73.509951
5.00,43.574422,-73.659425
10.00,44.209804,-75.883433
10.00,44.410267,-75.603263
10.00,44.134913,-75.531864
5.00,44.599266,-75.490663
5.00,44.697944,-75.349947
5.00,44.793531,-75.196352
5.00,44.857816,-75.042543
5.00,44.927863,-74.847536
5.00,44.929801,-73.927429
10.00,44.846129,-73.625305
5.00,44.686230,-73.466005
5.00,42.276293,-73.699466
5.00,42.339260,-73.544068
5.00,42.215297,-73.557801
5.00,42.463993,-73.476992
5.00,41.580525,-74.193635
10.00,41.356148,-74.320198
10.00,41.211722,-74.023561
5.00,41.093842,-73.831301
5.00,41.580525,-74.721193
5.00,41.591824,-74.914613
5.00,41.504461,-74.812987
5.00,41.400513,-74.594631
5.00,41.659062,-73.615372
5.00,42.627896,-75.192018
5.00,42.718768,-76.445832
