Radius(in miles),Latitude,Longitude
100.00,35.153244,-76.506831
50.00,35.808904,-78.927498
50.00,35.835628,-80.685310
25.00,34.090976,-78.231685
25.00,34.578952,-78.806648
25.00,35.164828,-79.784431
25.00,36.182225,-77.927742
10.00,36.398065,-80.022003
10.00,36.395862,-79.663453
10.00,35.128894,-84.110813
10.00,35.359936,-83.834782
10.00,35.128894,-83.771610
10.00,35.422630,-83.505192
10.00,35.140125,-83.429661
10.00,35.545636,-83.192082
10.00,35.161459,-83.082218
10.00,35.663991,-82.859745
10.00,35.227672,-82.760868
25.00,35.692995,-82.019291
10.00,35.027747,-78.474312
10.00,34.578952,-78.246346
10.00,34.978252,-79.188423
10.00,34.761923,-79.373903
10.00,35.036743,-78.846559
10.00,34.994004,-80.310917
10.00,34.971500,-80.624027
10.00,35.312884,-81.535893
10.00,35.308401,-82.442265
10.00,35.895725,-82.653322
10.00,35.330812,-83.265810
10.00,35.418153,-82.916994
10.00,35.554575,-82.595644
10.00,36.142311,-81.700687
10.00,36.390335,-81.519413
10.00,36.182225,-79.789066
10.00,36.385913,-78.360844
10.00,36.385913,-77.492924
10.00,35.335257,-82.129160
10.00,35.321848,-81.843510
5.00,35.523285,-81.562500
5.00,35.234396,-81.288700
5.00,34.800272,-78.333378
5.00,36.484245,-81.267457
5.00,35.737595,-82.543244
5.00,35.978006,-82.392397
5.00,36.055761,-82.241335
5.00,36.086841,-81.941958
