Radius(in miles),Latitude,Longitude
100.00,35.527388,-96.296341
50.00,34.845616,-98.576031
50.00,36.111252,-99.098396
25.00,34.321006,-97.719098
25.00,34.225429,-94.912605
25.00,36.633162,-97.955818
25.00,35.173808,-99.548836
10.00,35.630759,-98.213482
10.00,35.897950,-98.141727
10.00,36.168923,-98.064823
10.00,36.536123,-94.801884
10.00,36.826875,-94.818363
10.00,36.840065,-95.197391
10.00,36.853252,-97.383671
10.00,36.844461,-98.550968
10.00,36.672825,-99.927006
10.00,36.848857,-99.646854
10.00,36.633162,-100.267582
10.00,36.853252,-100.124760
10.00,36.857648,-102.810917
10.00,36.637570,-102.816410
10.00,36.866438,-102.530766
10.00,36.641978,-102.514286
10.00,36.862043,-102.212162
10.00,36.650793,-102.206669
10.00,36.862043,-101.855106
10.00,36.637570,-101.871586
10.00,36.848857,-101.525516
10.00,36.650793,-101.541996
10.00,36.853252,-101.220217
10.00,36.639774,-101.209230
10.00,36.855450,-100.863161
10.00,36.862043,-100.489626
10.00,36.644182,-100.863161
10.00,36.637570,-100.585756
10.00,34.696461,-99.569521
10.00,34.782228,-99.822206
10.00,34.157273,-97.179995
10.00,34.068587,-96.861391
10.00,33.963864,-97.383242
10.00,33.954752,-96.394472
10.00,33.993473,-96.097841
10.00,34.018518,-95.790224
10.00,34.111805,-95.485354
10.00,33.831638,-94.653139
10.00,34.680652,-94.647646
10.00,34.957995,-94.617434
5.00,34.504544,-99.446698
5.00,34.479392,-99.618959
5.00,34.540500,-99.770021
5.00,35.552340,-99.783754
5.00,35.659528,-99.910097
5.00,35.496456,-99.904604
5.00,36.914764,-99.882631
5.00,36.921352,-99.388246
5.00,36.925743,-99.204226
5.00,36.923548,-99.025698
5.00,36.925743,-98.849917
5.00,36.910372,-97.127809
5.00,36.932330,-96.952028
5.00,36.670622,-97.462678
5.00,36.669520,-98.455567
5.00,36.923548,-98.311586
5.00,36.925743,-97.600222
5.00,36.835668,-95.427675
5.00,36.910372,-95.597963
5.00,36.932330,-95.427675
5.00,36.934525,-95.007448
5.00,36.714669,-95.012941
5.00,36.593479,-95.018434
5.00,36.659606,-95.136323
5.00,36.686041,-94.702363
5.00,36.374856,-94.748840
5.00,36.254241,-94.670777
5.00,35.164266,-94.529328
5.00,35.305599,-94.529217
5.00,35.435498,-94.531968
5.00,33.934245,-97.873292
5.00,33.978670,-97.064424
5.00,33.831638,-97.105622
5.00,34.025348,-96.614199
5.00,33.909175,-96.737795
5.00,33.813384,-96.235170
5.00,33.947917,-95.500245
5.00,33.957030,-95.324464
5.00,33.841905,-94.847825
5.00,34.624168,-94.857545
5.00,36.037995,-94.628205
5.00,36.154509,-94.652924
5.00,36.925743,-95.765290
5.00,36.826875,-98.781037
5.00,36.475411,-99.911256
