Radius(in miles),Latitude,Longitude
50.00,35.717924,-88.781113
50.00,35.719715,-87.007955
50.00,35.715328,-85.228187
25.00,35.862344,-83.915291
25.00,36.217689,-83.157247
10.00,36.465472,-81.866341
10.00,36.452218,-82.222536
10.00,36.443380,-82.579594
10.00,36.160053,-82.552128
10.00,36.275251,-82.117324
10.00,36.438943,-83.755121
10.00,36.217687,-84.353886
10.00,35.371135,-86.144657
10.00,35.137879,-86.314945
10.00,35.137879,-85.985355
10.00,35.146863,-88.061771
10.00,35.155846,-87.715702
10.00,35.366656,-87.880497
10.00,35.420392,-84.220161
10.00,35.135633,-84.483833
10.00,36.206607,-86.118050
10.00,36.503003,-86.523243
10.00,36.483131,-85.825609
10.00,36.487557,-86.163454
10.00,36.467686,-85.468565
10.00,36.474308,-85.111521
10.00,36.456636,-84.798403
10.00,36.447799,-84.482546
10.00,36.441171,-84.122744
10.00,36.503013,-86.888552
10.00,36.494182,-87.262087
10.00,36.489765,-87.616396
10.00,36.113480,-87.893804
10.00,36.323977,-88.102541
10.00,36.306276,-87.748239
10.00,36.520673,-87.910280
10.00,35.140133,-89.883701
10.00,35.140139,-89.530064
10.00,35.355456,-89.662600
5.00,36.425702,-88.333683
5.00,36.432332,-88.500795
5.00,36.425702,-88.682070
5.00,36.430122,-88.852358
5.00,36.423493,-89.022646
5.00,36.425702,-89.209413
5.00,36.419072,-89.376955
5.00,36.295204,-89.481325
5.00,36.323977,-89.311037
5.00,35.730907,-89.742250
5.00,35.594786,-89.736757
5.00,35.494220,-89.852114
5.00,35.368887,-89.923522
5.00,35.066535,-90.086260
5.00,35.069905,-89.713775
5.00,35.065973,-89.297304
5.00,35.065973,-88.300295
5.00,35.072717,-87.501040
5.00,35.065973,-86.558962
5.00,35.063725,-85.751467
5.00,35.061477,-84.735231
5.00,35.597019,-84.295778
5.00,35.822267,-83.381596
5.00,36.236520,-83.687196
5.00,36.296311,-84.608674
5.00,36.529502,-83.521242
5.00,36.525088,-82.807131
5.00,36.306272,-82.381411
