Radius(in miles),Latitude,Longitude
50.00,38.544365,-77.985365
50.00,37.247957,-75.820114
50.00,37.282809,-77.391138
50.00,37.274053,-78.654556
25.00,38.065392,-79.434586
25.00,36.914769,-79.863052
25.00,37.570684,-79.808118
25.00,36.927939,-80.741957
25.00,36.967413,-82.060306
10.00,37.260938,-80.284309
10.00,36.681636,-80.310917
10.00,36.681636,-79.399052
10.00,36.690446,-76.630497
10.00,36.672825,-78.042240
10.00,37.827141,-76.536684
10.00,38.119419,-77.102472
10.00,37.989669,-76.808596
10.00,38.384723,-78.992555
10.00,38.125915,-78.855228
10.00,37.116409,-81.277750
10.00,36.721333,-81.222782
10.00,36.730080,-81.563358
10.00,36.927939,-81.409550
10.00,36.747688,-82.585087
10.00,36.730081,-82.914676
5.00,36.668419,-83.168735
5.00,36.648589,-83.327393
5.00,36.903787,-82.768678
5.00,36.956476,-82.595644
5.00,37.090240,-82.581911
5.00,37.391982,-82.043581
5.00,37.107765,-81.554689
5.00,36.670622,-82.375917
5.00,36.613324,-79.165164
5.00,36.619937,-76.888246
5.00,36.624344,-76.382875
