Radius(in miles),Latitude,Longitude
100.00,43.539647,-109.026124
100.00,42.463993,-106.010513
50.00,44.267878,-105.071046
50.00,44.253069,-106.755867
50.00,41.730330,-110.029793
50.00,41.722131,-108.348885
25.00,44.636470,-110.531251
10.00,43.539647,-104.433839
10.00,43.297198,-104.230471
10.00,43.727445,-104.260683
10.00,44.851975,-104.266605
10.00,44.836396,-105.936527
10.00,44.855869,-107.793217
10.00,41.149706,-110.880375
10.00,42.468045,-110.638676
10.00,42.690511,-110.841923
10.00,42.309815,-110.852909
10.00,41.162114,-109.199467
10.00,41.269549,-107.381229
10.00,41.153842,-107.639408
10.00,41.153842,-107.112064
10.00,41.141433,-104.936771
10.00,41.281935,-104.596195
10.00,41.508577,-104.338016
10.00,41.224117,-104.239140
5.00,42.905200,-110.932252
5.00,43.050827,-110.940371
5.00,44.278638,-110.846987
5.00,44.367060,-110.945864
5.00,44.154622,-110.948610
5.00,44.923974,-110.951357
5.00,44.925918,-110.091677
5.00,44.939529,-109.877443
5.00,44.927863,-108.276186
5.00,44.896741,-108.072939
5.00,44.927863,-107.303896
5.00,44.920084,-107.501650
5.00,44.777936,-107.520876
5.00,44.676466,-107.671938
5.00,44.922029,-106.202517
5.00,44.929808,-105.658693
5.00,44.929808,-104.532595
5.00,44.656932,-104.150820
5.00,43.893934,-104.142580
5.00,43.512705,-104.167299
5.00,43.078919,-104.153566
5.00,41.928847,-104.150820
5.00,41.791793,-104.156313
5.00,41.699577,-104.263430
5.00,41.407716,-104.150820
5.00,41.623655,-104.150820
5.00,41.075210,-104.433718
5.00,41.064857,-104.647951
5.00,41.071069,-105.208254
5.00,41.077281,-106.831484
5.00,41.066928,-107.372561
5.00,41.083492,-108.932619
5.00,41.071069,-109.473696
5.00,41.075210,-110.624514
5.00,41.364441,-110.951357
5.00,42.098222,-110.951357
